season,player,player_full,position,appearances
2019/2020,Lionel Messi,Lionel Andrés Messi Cuccittini,Center Forward,1
2019/2020,Riqui Puig,Ricard Puig Martí,Center Attacking Midfield,1
2019/2020,Sergi Roberto,Sergi Roberto Carnicer,Center Defensive Midfield,1
2019/2020,Ronald Araújo,Ronald Federico Araújo da Silva,Left Center Back,1
2019/2020,Martin Braithwaite,Martin Braithwaite Christensen,Left Midfield,1
2019/2020,Sergio Busquets,Sergio Busquets i Burgos,Right Center Midfield,1
2019/2020,Arturo Vidal,Arturo Erasmo Vidal Pardo,Right Midfield,2
2019/2020,Sergio Busquets,Sergio Busquets i Burgos,Left Defensive Midfield,2
2019/2020,Frenkie de Jong,Frenkie de Jong,Left Midfield,1
2019/2020,Arthur,Arthur Henrique Ramos de Oliveira Melo,Right Defensive Midfield,1
2019/2020,Samuel Umtiti,Samuel Yves Umtiti,Right Center Back,2
2019/2020,Carles Pérez,Carles Pérez Sayol,Right Wing,1
2019/2020,Ousmane Dembélé,Ousmane Dembélé,Right Wing,1
2019/2020,Moussa Wagué,Moussa Wagué,Right Back,1
2019/2020,Frenkie de Jong,Frenkie de Jong,Right Defensive Midfield,1
2019/2020,Carles Aleñà,Carles Aleña Castillo,Left Center Midfield,1
2019/2020,Gerard Piqué,Gerard Piqué Bernabéu,Left Center Back,1
2019/2020,Ousmane Dembélé,Ousmane Dembélé,Left Wing,1
2019/2020,Jean-Clair Todibo,Jean-Clair Todibo,Right Center Back,1
2018/2019,Jordi Alba,Jordi Alba Ramos,Left Back,29
2018/2019,Gerard Piqué,Gerard Piqué Bernabéu,Right Center Back,33
2018/2019,Luis Suárez,Luis Alberto Suárez Díaz,Center Forward,26
2018/2019,Ivan Rakitić,Ivan Rakitić,Center Defensive Midfield,5
2018/2019,Ousmane Dembélé,Ousmane Dembélé,Left Wing,11
2018/2019,Samuel Umtiti,Samuel Yves Umtiti,Left Center Back,10
2018/2019,Lionel Messi,Lionel Andrés Messi Cuccittini,Right Wing,22
2018/2019,Nélson Semedo,Nélson Cabral Semedo,Right Back,19
2018/2019,Sergi Roberto,Sergi Roberto Carnicer,Right Center Midfield,1
2018/2019,Rafinha,Rafael Alcântara do Nascimento,Left Center Midfield,1
2018/2019,Marc-André ter Stegen,Marc-André ter Stegen,Goalkeeper,32
2018/2019,Philippe Coutinho,Philippe Coutinho Correia,Left Center Midfield,3
2018/2019,Sergio Busquets,Sergio Busquets i Burgos,Center Defensive Midfield,25
2018/2019,Ivan Rakitić,Ivan Rakitić,Right Center Midfield,14
2018/2019,Thomas Vermaelen,Thomas Vermaelen,Left Back,1
2018/2019,Sergi Roberto,Sergi Roberto Carnicer,Right Back,14
2018/2019,Munir El Haddadi,Munir El Haddadi Mohamed,Center Forward,1
2018/2019,Philippe Coutinho,Philippe Coutinho Correia,Left Wing,16
2018/2019,Clément Lenglet,Clément Lenglet,Left Center Back,19
2018/2019,Arthur,Arthur Henrique Ramos de Oliveira Melo,Left Center Midfield,16
2018/2019,Sergio Busquets,Sergio Busquets i Burgos,Right Center Midfield,2
2018/2019,Luis Suárez,Luis Alberto Suárez Díaz,Left Center Forward,1
2018/2019,Lionel Messi,Lionel Andrés Messi Cuccittini,Right Center Forward,1
2018/2019,Sergi Roberto,Sergi Roberto Carnicer,Right Midfield,2
2018/2019,Arturo Vidal,Arturo Erasmo Vidal Pardo,Left Midfield,2
2018/2019,Ivan Rakitić,Ivan Rakitić,Left Center Midfield,6
2018/2019,Arturo Vidal,Arturo Erasmo Vidal Pardo,Right Center Midfield,14
2018/2019,Thomas Vermaelen,Thomas Vermaelen,Left Center Back,5
2018/2019,Kevin-Prince Boateng,Kevin-Prince Boateng,Center Forward,1
2018/2019,Carles Aleñà,Carles Aleña Castillo,Left Center Midfield,2
2018/2019,Luis Suárez,Luis Alberto Suárez Díaz,Right Center Forward,2
2018/2019,Ivan Rakitić,Ivan Rakitić,Right Midfield,1
2018/2019,Lionel Messi,Lionel Andrés Messi Cuccittini,Left Center Forward,2
2018/2019,Nélson Semedo,Nélson Cabral Semedo,Left Back,1
2018/2019,Arturo Vidal,Arturo Erasmo Vidal Pardo,Left Center Midfield,5
2018/2019,Sergio Busquets,Sergio Busquets i Burgos,Right Defensive Midfield,1
2018/2019,Ivan Rakitić,Ivan Rakitić,Left Defensive Midfield,1
2018/2019,Ousmane Dembélé,Ousmane Dembélé,Left Midfield,1
2018/2019,Sergi Roberto,Sergi Roberto Carnicer,Left Back,2
2018/2019,Carles Aleñà,Carles Aleña Castillo,Right Center Midfield,2
2018/2019,Ousmane Dembélé,Ousmane Dembélé,Right Wing,4
2018/2019,Malcom,Malcom Filipe Silva de Oliveira,Left Wing,2
2018/2019,Philippe Coutinho,Philippe Coutinho Correia,Left Midfield,1
2018/2019,Ousmane Dembélé,Ousmane Dembélé,Right Midfield,1
2018/2019,Lionel Messi,Lionel Andrés Messi Cuccittini,Center Forward,3
2018/2019,Sergi Roberto,Sergi Roberto Carnicer,Right Wing,1
2018/2019,Jasper Cillessen,Jasper Cillessen,Goalkeeper,2
2018/2019,Jordi Alba,Jordi Alba Ramos,Left Wing Back,1
2018/2019,Ousmane Dembélé,Ousmane Dembélé,Right Wing Back,1
2018/2019,Lionel Messi,Lionel Andrés Messi Cuccittini,Center Attacking Midfield,1
2018/2019,Clément Lenglet,Clément Lenglet,Center Back,1
2018/2019,Malcom,Malcom Filipe Silva de Oliveira,Right Wing,2
2018/2019,Sergi Roberto,Sergi Roberto Carnicer,Center Defensive Midfield,1
2018/2019,Samuel Umtiti,Samuel Yves Umtiti,Right Center Back,1
2017/2018,Philippe Coutinho,Philippe Coutinho Correia,Right Midfield,4
2017/2018,Sergio Busquets,Sergio Busquets i Burgos,Right Defensive Midfield,4
2017/2018,Jordi Alba,Jordi Alba Ramos,Left Back,28
2017/2018,Gerard Piqué,Gerard Piqué Bernabéu,Right Center Back,28
2017/2018,Andrés Iniesta,Andrés Iniesta Luján,Left Midfield,14
2017/2018,Luis Suárez,Luis Alberto Suárez Díaz,Left Center Forward,22
2017/2018,Samuel Umtiti,Samuel Yves Umtiti,Left Center Back,21
2017/2018,Lionel Messi,Lionel Andrés Messi Cuccittini,Right Center Forward,23
2017/2018,Paulinho,José Paulo Bezzera Maciel Júnior,Left Defensive Midfield,4
2017/2018,Sergi Roberto,Sergi Roberto Carnicer,Right Back,20
2017/2018,Marc-André ter Stegen,Marc-André ter Stegen,Goalkeeper,35
2017/2018,Philippe Coutinho,Philippe Coutinho Correia,Left Center Midfield,1
2017/2018,Sergio Busquets,Sergio Busquets i Burgos,Center Defensive Midfield,9
2017/2018,Luis Suárez,Luis Alberto Suárez Díaz,Left Wing,1
2017/2018,Ivan Rakitić,Ivan Rakitić,Right Center Midfield,8
2017/2018,Ousmane Dembélé,Ousmane Dembélé,Right Wing,7
2017/2018,Lionel Messi,Lionel Andrés Messi Cuccittini,Center Forward,5
2017/2018,Nélson Semedo,Nélson Cabral Semedo,Right Back,16
2017/2018,Sergio Busquets,Sergio Busquets i Burgos,Left Defensive Midfield,11
2017/2018,Ivan Rakitić,Ivan Rakitić,Right Defensive Midfield,10
2017/2018,Philippe Coutinho,Philippe Coutinho Correia,Left Midfield,3
2017/2018,Ivan Rakitić,Ivan Rakitić,Left Defensive Midfield,5
2017/2018,Ousmane Dembélé,Ousmane Dembélé,Right Midfield,3
2017/2018,Paulinho,José Paulo Bezzera Maciel Júnior,Right Defensive Midfield,7
2017/2018,Paco Alcácer,Francisco Alcácer García,Left Center Forward,1
2017/2018,Samuel Umtiti,Samuel Yves Umtiti,Right Center Back,2
2017/2018,Thomas Vermaelen,Thomas Vermaelen,Left Center Back,11
2017/2018,Aleix Vidal,Aleix Vidal Parreu,Right Midfield,3
2017/2018,Lucas Digne,Lucas Digne,Left Back,7
2017/2018,Andrés Iniesta,Andrés Iniesta Luján,Left Center Midfield,9
2017/2018,Paulinho,José Paulo Bezzera Maciel Júnior,Center Attacking Midfield,2
2017/2018,Javier Mascherano,Javier Alejandro Mascherano,Left Center Back,2
2017/2018,Denis Suárez,Denis Suárez Fernández,Left Midfield,2
2017/2018,Gerard Deulofeu,Gerard Deulofeu Lázaro,Right Wing,1
2017/2018,Paulinho,José Paulo Bezzera Maciel Júnior,Right Center Midfield,5
2017/2018,Denis Suárez,Denis Suárez Fernández,Left Wing,1
2017/2018,Gerard Deulofeu,Gerard Deulofeu Lázaro,Right Midfield,3
2017/2018,Sergio Busquets,Sergio Busquets i Burgos,Right Center Midfield,2
2017/2018,Ivan Rakitić,Ivan Rakitić,Left Center Midfield,2
2017/2018,Javier Mascherano,Javier Alejandro Mascherano,Right Center Back,4
2017/2018,Sergi Roberto,Sergi Roberto Carnicer,Center Attacking Midfield,1
2017/2018,Paco Alcácer,Francisco Alcácer García,Left Midfield,2
2017/2018,Philippe Coutinho,Philippe Coutinho Correia,Left Wing,6
2017/2018,Jasper Cillessen,Jasper Cillessen,Goalkeeper,1
2017/2018,Luis Suárez,Luis Alberto Suárez Díaz,Right Center Forward,2
2017/2018,Lionel Messi,Lionel Andrés Messi Cuccittini,Left Center Forward,2
2017/2018,Paulinho,José Paulo Bezzera Maciel Júnior,Right Midfield,1
2017/2018,Sergio Busquets,Sergio Busquets i Burgos,Left Center Midfield,2
2017/2018,Sergi Roberto,Sergi Roberto Carnicer,Right Wing,1
2017/2018,André Gomes,André Filipe Tavares Gomes,Left Wing,2
2017/2018,Ivan Rakitić,Ivan Rakitić,Right Midfield,3
2017/2018,André Gomes,André Filipe Tavares Gomes,Left Midfield,1
2017/2018,Luis Suárez,Luis Alberto Suárez Díaz,Center Forward,5
2017/2018,Lionel Messi,Lionel Andrés Messi Cuccittini,Center Attacking Midfield,1
2017/2018,Sergi Roberto,Sergi Roberto Carnicer,Left Back,1
2017/2018,André Gomes,André Filipe Tavares Gomes,Left Defensive Midfield,1
2017/2018,Paco Alcácer,Francisco Alcácer García,Right Wing,1
2017/2018,Ivan Rakitić,Ivan Rakitić,Center Defensive Midfield,1
2017/2018,Yerry Mina,Yerry Fernando Mina González,Right Center Back,2
2017/2018,Paco Alcácer,Francisco Alcácer García,Right Midfield,3
2017/2018,Lucas Digne,Lucas Digne,Left Center Back,1
2017/2018,André Gomes,André Filipe Tavares Gomes,Right Midfield,1
2017/2018,Lionel Messi,Lionel Andrés Messi Cuccittini,Left Wing,1
2017/2018,Yerry Mina,Yerry Fernando Mina González,Left Center Back,1
2017/2018,Gerard Deulofeu,Gerard Deulofeu Lázaro,Left Wing,1
2017/2018,Aleix Vidal,Aleix Vidal Parreu,Right Wing,1
2017/2018,Andrés Iniesta,Andrés Iniesta Luján,Right Midfield,1
2017/2018,Paulinho,José Paulo Bezzera Maciel Júnior,Right Wing,1
2017/2018,Paco Alcácer,Francisco Alcácer García,Center Forward,1
2017/2018,Denis Suárez,Denis Suárez Fernández,Center Attacking Midfield,1
2017/2018,André Gomes,André Filipe Tavares Gomes,Left Center Midfield,1
2016/2017,Neymar,Neymar da Silva Santos Junior,Left Wing,25
2016/2017,Sergio Busquets,Sergio Busquets i Burgos,Center Defensive Midfield,24
2016/2017,Luis Suárez,Luis Alberto Suárez Díaz,Center Forward,29
2016/2017,Ivan Rakitić,Ivan Rakitić,Right Center Midfield,21
2016/2017,Samuel Umtiti,Samuel Yves Umtiti,Left Center Back,18
2016/2017,Lionel Messi,Lionel Andrés Messi Cuccittini,Right Wing,28
2016/2017,Javier Mascherano,Javier Alejandro Mascherano,Right Center Back,12
2016/2017,Sergi Roberto,Sergi Roberto Carnicer,Right Back,19
2016/2017,Denis Suárez,Denis Suárez Fernández,Left Center Midfield,5
2016/2017,Lucas Digne,Lucas Digne,Left Back,9
2016/2017,Marc-André ter Stegen,Marc-André ter Stegen,Goalkeeper,32
2016/2017,Jordi Alba,Jordi Alba Ramos,Left Back,15
2016/2017,Gerard Piqué,Gerard Piqué Bernabéu,Right Center Back,16
2016/2017,Andrés Iniesta,Andrés Iniesta Luján,Left Center Midfield,12
2016/2017,André Gomes,André Filipe Tavares Gomes,Right Center Midfield,5
2016/2017,Arda Turan,Arda Turan,Left Wing,5
2016/2017,Luis Suárez,Luis Alberto Suárez Díaz,Right Center Forward,2
2016/2017,Lionel Messi,Lionel Andrés Messi Cuccittini,Center Attacking Midfield,3
2016/2017,Paco Alcácer,Francisco Alcácer García,Left Center Forward,3
2016/2017,Jordi Alba,Jordi Alba Ramos,Left Wing Back,1
2016/2017,Gerard Piqué,Gerard Piqué Bernabéu,Center Back,6
2016/2017,Rafinha,Rafael Alcântara do Nascimento,Right Wing Back,5
2016/2017,Aleix Vidal,Aleix Vidal Parreu,Right Back,5
2016/2017,Paco Alcácer,Francisco Alcácer García,Center Forward,2
2016/2017,Jasper Cillessen,Jasper Cillessen,Goalkeeper,1
2016/2017,Jérémy Mathieu,Jérémy Mathieu,Left Center Back,7
2016/2017,Arda Turan,Arda Turan,Right Wing,2
2016/2017,Javier Mascherano,Javier Alejandro Mascherano,Left Center Back,5
2016/2017,Claudio Bravo,Claudio Andrés Bravo Muñoz,Goalkeeper,1
2016/2017,Ivan Rakitić,Ivan Rakitić,Center Defensive Midfield,2
2016/2017,Denis Suárez,Denis Suárez Fernández,Right Center Midfield,5
2016/2017,Arda Turan,Arda Turan,Left Center Midfield,3
2016/2017,Marlon,Marlon Santos da Silva Barbosa,Right Center Back,2
2016/2017,Lucas Digne,Lucas Digne,Right Back,1
2016/2017,Lionel Messi,Lionel Andrés Messi Cuccittini,Right Center Forward,1
2016/2017,Lucas Digne,Lucas Digne,Left Center Back,1
2016/2017,André Gomes,André Filipe Tavares Gomes,Right Wing Back,1
2016/2017,Arda Turan,Arda Turan,Left Wing Back,1
2016/2017,Sergio Busquets,Sergio Busquets i Burgos,Left Center Midfield,3
2016/2017,Andrés Iniesta,Andrés Iniesta Luján,Left Wing Back,1
2016/2017,Sergio Busquets,Sergio Busquets i Burgos,Left Defensive Midfield,2
2016/2017,Jordi Alba,Jordi Alba Ramos,Left Center Back,3
2016/2017,Sergi Roberto,Sergi Roberto Carnicer,Right Defensive Midfield,1
2016/2017,André Gomes,André Filipe Tavares Gomes,Left Center Midfield,6
2016/2017,Samuel Umtiti,Samuel Yves Umtiti,Right Center Back,4
2016/2017,Rafinha,Rafael Alcântara do Nascimento,Left Center Midfield,3
2016/2017,Rafinha,Rafael Alcântara do Nascimento,Right Center Midfield,2
2016/2017,Jérémy Mathieu,Jérémy Mathieu,Left Back,2
2016/2017,André Gomes,André Filipe Tavares Gomes,Center Defensive Midfield,2
2016/2017,Neymar,Neymar da Silva Santos Junior,Left Wing Back,1
2016/2017,Sergi Roberto,Sergi Roberto Carnicer,Right Wing Back,1
2016/2017,Javier Mascherano,Javier Alejandro Mascherano,Right Back,1
2016/2017,Ivan Rakitić,Ivan Rakitić,Left Center Midfield,1
2016/2017,Ivan Rakitić,Ivan Rakitić,Left Wing Back,1
2016/2017,Samuel Umtiti,Samuel Yves Umtiti,Center Back,2
2016/2017,Sergi Roberto,Sergi Roberto Carnicer,Right Center Midfield,1
2016/2017,Denis Suárez,Denis Suárez Fernández,Left Wing Back,1
2016/2017,Lucas Digne,Lucas Digne,Left Wing Back,1
2015/2016,Neymar,Neymar da Silva Santos Junior,Left Wing,34
2015/2016,Dani Alves,Daniel Alves da Silva,Right Back,24
2015/2016,Claudio Bravo,Claudio Andrés Bravo Muñoz,Goalkeeper,32
2015/2016,Sergio Busquets,Sergio Busquets i Burgos,Center Defensive Midfield,30
2015/2016,Jordi Alba,Jordi Alba Ramos,Left Back,29
2015/2016,Gerard Piqué,Gerard Piqué Bernabéu,Right Center Back,30
2015/2016,Andrés Iniesta,Andrés Iniesta Luján,Left Center Midfield,23
2015/2016,Luis Suárez,Luis Alberto Suárez Díaz,Center Forward,34
2015/2016,Sergi Roberto,Sergi Roberto Carnicer,Right Center Midfield,5
2015/2016,Munir El Haddadi,Munir El Haddadi Mohamed,Right Wing,4
2015/2016,Jérémy Mathieu,Jérémy Mathieu,Left Center Back,8
2015/2016,Sandro Ramírez,Sandro Ramírez Castillo,Right Wing,2
2015/2016,Sergio Busquets,Sergio Busquets i Burgos,Left Center Midfield,3
2015/2016,Ivan Rakitić,Ivan Rakitić,Right Center Midfield,26
2015/2016,Javier Mascherano,Javier Alejandro Mascherano,Center Defensive Midfield,3
2015/2016,Marc Bartra,Marc Bartra Aregall,Left Center Back,2
2015/2016,Ivan Rakitić,Ivan Rakitić,Left Center Midfield,3
2015/2016,Sergi Roberto,Sergi Roberto Carnicer,Left Center Midfield,2
2015/2016,Sergi Roberto,Sergi Roberto Carnicer,Right Back,8
2015/2016,Lionel Messi,Lionel Andrés Messi Cuccittini,Right Wing,29
2015/2016,Sergi Roberto,Sergi Roberto Carnicer,Center Defensive Midfield,4
2015/2016,Aleix Vidal,Aleix Vidal Parreu,Right Back,6
2015/2016,Munir El Haddadi,Munir El Haddadi Mohamed,Center Forward,2
2015/2016,Arda Turan,Arda Turan,Right Center Midfield,3
2015/2016,Javier Mascherano,Javier Alejandro Mascherano,Left Center Back,22
2015/2016,Luis Suárez,Luis Alberto Suárez Díaz,Right Wing,1
2015/2016,Lionel Messi,Lionel Andrés Messi Cuccittini,Center Forward,1
2015/2016,Marc Bartra,Marc Bartra Aregall,Right Center Back,2
2015/2016,Andrés Iniesta,Andrés Iniesta Luján,Right Center Midfield,2
2015/2016,Jérémy Mathieu,Jérémy Mathieu,Left Back,4
2015/2016,Javier Mascherano,Javier Alejandro Mascherano,Right Center Back,6
2015/2016,Thomas Vermaelen,Thomas Vermaelen,Left Center Back,6
2015/2016,Munir El Haddadi,Munir El Haddadi Mohamed,Left Wing,2
2015/2016,Adriano,Adriano Correia Claro,Left Back,4
2015/2016,Marc-André ter Stegen,Marc-André ter Stegen,Goalkeeper,6
2015/2016,Rafinha,Rafael Alcântara do Nascimento,Left Wing,1
2015/2016,Sandro Ramírez,Sandro Ramírez Castillo,Left Wing,1
2015/2016,Arda Turan,Arda Turan,Left Center Midfield,6
2015/2016,Sergi Roberto,Sergi Roberto Carnicer,Left Back,1
2015/2016,Rafinha,Rafael Alcântara do Nascimento,Right Center Midfield,1
2015/2016,Rafinha,Rafael Alcântara do Nascimento,Right Wing,1
2015/2016,Sergi Roberto,Sergi Roberto Carnicer,Right Wing,1
2015/2016,Sandro Ramírez,Sandro Ramírez Castillo,Center Forward,1
2015/2016,Sergio Busquets,Sergio Busquets i Burgos,Left Defensive Midfield,1
2015/2016,Ivan Rakitić,Ivan Rakitić,Right Defensive Midfield,1
2015/2016,Lionel Messi,Lionel Andrés Messi Cuccittini,Center Attacking Midfield,1
2014/2015,Neymar,Neymar da Silva Santos Junior,Left Wing,29
2014/2015,Dani Alves,Daniel Alves da Silva,Right Back,29
2014/2015,Claudio Bravo,Claudio Andrés Bravo Muñoz,Goalkeeper,37
2014/2015,Jordi Alba,Jordi Alba Ramos,Left Back,27
2014/2015,Gerard Piqué,Gerard Piqué Bernabéu,Right Center Back,26
