Mark,Competitor,DOB,Nationality,Venue,Date
5.51,Kjell ISAKSSON,28/02/1948,SWE,"Austin, TX (USA)",08/04/1972
5.49,Christos PAPANIKOLAOU,25/11/1941,GRE,Pireaus (GRE),24/10/1970
5.46,Wolfgang NORDWIG,28/08/1943,GDR,Torino (ITA),03/09/1970
5.45,Wolfgang NORDWIG,28/08/1943,GDR,Berlin (GER),17/06/1970
5.44,John PENNEL,25/07/1940,USA,"Sacramento, CA (USA)",21/06/1969
5.41,Bob SEAGREN,17/10/1946,USA,Echo Summit (USA),12/09/1968
5.38,Paul WILSON,30/07/1947,RSA,"Bakersfield, CA (USA)",23/06/1967
5.36,Bob SEAGREN,17/10/1946,USA,"San Diego, CA (USA)",10/06/1967
5.34,John PENNEL,25/07/1940,USA,"Los Angeles, CA (USA)",23/07/1966
5.32,Bob SEAGREN,17/10/1946,USA,"Fresno, CA (USA)",14/05/1966
5.28,Fred HANSEN,29/01/1940,USA,"Los Angeles, CA (USA)",25/07/1964
5.23,Fred HANSEN,29/01/1940,USA,"San Diego, CA (USA)",13/06/1964
5.2,John PENNEL,25/07/1940,USA,"Coral Gables, FL (USA)",24/08/1963
5.13,John PENNEL,25/07/1940,USA,London (GBR),05/08/1963
5.08,Brian STERNBERG,21/06/1943,USA,Compton (GBR),07/06/1963
5,Brian STERNBERG,21/06/1943,USA,"Philadelphia, PA (USA)",27/04/1963
4.94,Pentti NIKULA,03/02/1939,FIN,Kauhava (FIN),22/06/1962
4.93,Dave TORK,25/08/1934,USA,"Walnut, CA (USA)",28/04/1962
4.89,John UELSES,14/07/1937,USA,"Santa Barbara, CA (USA)",31/03/1962
4.83,George DAVIES,19/11/1940,USA,"Boulder, CO (USA)",20/05/1961
4.8,Don BRAGG,15/05/1935,USA,"Palo Alto, CA (USA)",02/07/1960
4.78,Bob GUTOWSKI,25/04/1935,USA,"Palo Alto, CA (USA)",27/04/1957
4.77,Cornelius WARMERDAM,22/06/1915,USA,"Modesto, CA (USA)",23/05/1942
4.72,Cornelius WARMERDAM,22/06/1915,USA,Compton (GBR),06/06/1941
4.6,Cornelius WARMERDAM,22/06/1915,USA,"Fresno, CA (USA)",29/06/1940
4.54,Earle MEADOWS,29/06/1913,USA,"Los Angeles, CA (USA)",29/05/1937
4.54,Bill SEFTON,21/01/1915,USA,"Los Angeles, CA (USA)",29/05/1937
4.43,George VAROFF,25/03/1914,USA,"Princeton, NJ (USA)",04/07/1936
4.39,Keith BROWN,15/06/1913,USA,"Cambridge, MA (USA)",01/06/1935
4.37,Bill GRABER,21/01/1911,USA,"Palo Alto, CA (USA)",16/07/1932
4.3,Lee BARNES,16/07/1906,USA,"Fresno, CA (USA)",28/04/1928
4.27,Sabin CARR,04/09/1904,USA,"Philadelphia, PA (USA)",28/05/1927
4.25,Charles HOFF,09/05/1902,NOR,Turku (FIN),27/09/1925
4.23,Charles HOFF,09/05/1902,NOR,Oslo (NOR),13/08/1925
4.21,Charles HOFF,09/05/1902,NOR,København (DEN),22/07/1923
4.12,Charles HOFF,09/05/1902,NOR,København (DEN),03/09/1922
4.09,Frank FOSS,09/05/1895,USA,"Champs de Beerschot Stadium, Antwerpen (BEL)",20/08/1920
4.02,Marc WRIGHT,21/04/1890,USA,"Cambridge, MA (USA)",06/08/1912
